Sex,MoltType,Bin,8mm,13mm,18mm,23mm,28mm,33mm,38mm,43mm,48mm,53mm,58mm,63mm,68mm,73mm,78mm,83mm,88mm,93mm,98mm,103mm,108mm,113mm,118mm,123mm,128mm,133mm,138mm,143mm,148mm,153mm,158mm,163mm,168mm,173mm,178mm,183mm,188mm,193mm,198mm,203mm,208mm,213mm,218mm,223mm
2,SM,8,0.235,0.676,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,13,0.0009,0.357,0.596,0.045,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,18,0,0.023,0.351,0.516,0.095,0.014,0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,23,0,0,0.002,0.213,0.4859,0.234,0.0574,0.006,0.0009,0.0009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,28,0,0,0,0,0.1293,0.41,0.3127,0.099,0.033,0.0092,0.005,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,33,0,0,0,0,0,0.096,0.3608,0.314,0.1353,0.0653,0.017,0.004,0.003,0.002,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,38,0,0,0,0,0,0,0.0797,0.276,0.2825,0.2149,0.076,0.04,0.017,0.007,0.002,0.003,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,43,0,0,0,0,0,0,0,0.045,0.2203,0.2894,0.231,0.123,0.048,0.022,0.006,0.004,0.009,0.002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,48,0,0,0,0,0,0,0,0,0.0406,0.2157,0.203,0.236,0.14,0.091,0.028,0.015,0.025,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,53,0,0,0,0,0,0,0,0,0,0.113415392,0.45189576,0.310314814,0.104365873,0.018974727,0.001031985,0.00000145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,58,0,0,0,0,0,0,0,0,0,0,0.079031366,0.357003597,0.382093235,0.153057715,0.027523194,0.001289689,0.0000012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,63,0,0,0,0,0,0,0,0,0,0,0,0.072995631,0.251248835,0.415070503,0.215091073,0.043502655,0.002089552,0.00000175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,68,0,0,0,0,0,0,0,0,0,0,0,0,0.084899693,0.187607965,0.425957717,0.24780767,0.051351702,0.002373397,0.00000186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109780185,0.18272835,0.414379773,0.240915378,0.049890735,0.002303779,0.0000018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141134653,0.176561556,0.399788748,0.232242013,0.048054839,0.002216462,0.00000173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.179915136,0.168907212,0.381741285,0.221533449,0.045792168,0.002109106,0.00000164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226786592,0.159616005,0.359927536,0.208618759,0.043069274,0.001980294,0.00000154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,SM,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.281884833,0.148638115,0.334283856,0.193476575,0.039885015,0.001830186,0.00000142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
