Sex,MoltTiming,Bin,53mm,58mm,63mm,68mm,73mm,78mm,83mm,88mm,93mm,98mm,103mm,108mm,113mm,118mm,123mm,128mm,133mm,138mm,143mm,148mm,153mm,158mm,163mm,168mm,173mm,178mm,183mm,188mm,193mm,198mm,203mm,208mm,213mm,218mm,223mm
2,m1,53,0.113415392,0.45189576,0.310314814,0.104365873,0.018974727,0.001031985,1.45E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,58,0,0.079031366,0.357003597,0.382093235,0.153057715,0.027523194,0.001289689,1.20E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,63,0,0,0.072995631,0.251248835,0.415070503,0.215091073,0.043502655,0.002089552,1.75E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,68,0,0,0,0.084899693,0.187607965,0.425957717,0.24780767,0.051351702,0.002373397,1.86E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,73,0,0,0,0,0.109780185,0.18272835,0.414379773,0.240915378,0.049890735,0.002303779,1.80E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,78,0,0,0,0,0,0.141134653,0.176561556,0.399788748,0.232242013,0.048054839,0.002216462,1.73E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,83,0,0,0,0,0,0,0.179915136,0.168907212,0.381741285,0.221533449,0.045792168,0.002109106,1.64E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,88,0,0,0,0,0,0,0,0.226786592,0.159616005,0.359927536,0.208618759,0.043069274,0.001980294,1.54E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,93,0,0,0,0,0,0,0,0,0.281884833,0.148638115,0.334283856,0.193476575,0.039885015,0.001830186,1.42E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,98,0,0,0,0,0,0,0,0,0,0.344579993,0.136073005,0.305102987,0.176298208,0.036283423,0.001661097,1.29E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,103,0,0,0,0,0,0,0,0,0,0,0.413334544,0.122203297,0.273100284,0.157522738,0.032360243,0.001477754,1.14E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,108,0,0,0,0,0,0,0,0,0,0,0,0.485750904,0.107492708,0.23939167,0.137818732,0.028258006,0.001286991,9.90E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,113,0,0,0,0,0,0,0,0,0,0,0,0,0.558853869,0.092536137,0.205362223,0.11800221,0.024147877,0.001096842,8.42E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0.629555112,0.077969009,0.172449894,0.098907729,0.020202316,0.000915239,7.00E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695155379,0.064363106,0.141911607,0.081253282,0.016567309,0.000748746,5.72E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.753719767,0.052143401,0.114648425,0.065543062,0.013343158,0.00060173,4.58E-07,0,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.796552604,0.042193408,0.094638861,0.054786031,0.011307554,0.000521135,4.08E-07,0,0,0,0,0,0,0,0,0,0,0,0
2,m1,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.800741875,0.040689177,0.092747311,0.054071769,0.011228935,0.000520524,4.08E-07,0,0,0,0,0,0,0,0,0,0,0
