"EID","Tag","TagDate","TagLon","TagLat","TagCL","TagSex","CapDate","CapLon","CapLat","CapCL","CapSex","DAL","SizeDiff","MoltIncr","Molted","z","TagDepth","CapDepth","subarea","degreedays"
1,3409,1987-10-27,-66.2166666666667,43.9833333333333,86,1,1987-12-02,-66.3166666666667,43.8666666666667,93,NA,36,7,0.0813953488372093,1,32.7723738718777,15.7116208371884,49.833126906567,"34",318.059820817607
2,1478,1983-05-12,-65.2833333333333,43.6166666666667,24,2,1983-08-10,-65.2833333333333,43.6166666666667,23,2,90,-1,-0.0416666666666667,0,3.40950659034869,3.40950659034869,3.40950659034869,"33W",962.599924682612
3,1528,1983-05-12,-65.2833333333333,43.6166666666667,33,2,1985-07-31,-65.2833333333333,43.6166666666667,49,2,811,16,0.484848484848485,1,3.40950659034869,3.40950659034869,3.40950659034869,"33W",6174.70554657554
4,1565,1983-05-13,-65.2833333333333,43.6166666666667,27,2,1986-08-20,-65.2833333333333,43.6166666666667,57,2,1195,30,1.11111111111111,1,3.40950659034869,3.40950659034869,3.40950659034869,"33W",9085.52530184233
5,1582,1983-05-13,-65.2833333333333,43.6166666666667,30,1,1983-06-04,-65.2833333333333,43.6166666666667,30,1,22,0,0,0,3.40950659034869,3.40950659034869,3.40950659034869,"33W",162.091639405669
6,1613,1983-06-04,-65.2833333333333,43.6166666666667,35,1,1984-08-29,-65.2833333333333,43.6166666666667,54,1,452,19,0.542857142857143,1,3.40950659034869,3.40950659034869,3.40950659034869,"33W",3769.37308843213
7,1660,1983-06-04,-65.2833333333333,43.6166666666667,50,1,1983-06-06,-65.2833333333333,43.6166666666667,50,1,2,0,0,0,3.40950659034869,3.40950659034869,3.40950659034869,"33W",25.5377644375121
8,1665,1983-06-04,-65.2833333333333,43.6166666666667,30,2,1985-08-05,-65.2833333333333,43.6166666666667,51,2,793,21,0.7,1,3.40950659034869,3.40950659034869,3.40950659034869,"33W",6084.11654883485
9,1695,1983-06-06,-65.2833333333333,43.6166666666667,36,2,1985-08-05,-65.2833333333333,43.6166666666667,57,2,791,21,0.583333333333333,1,3.40950659034869,3.40950659034869,3.40950659034869,"33W",6067.21328882541
10,298,1982-08-12,-65.2833333333333,43.6166666666667,27,NA,1982-09-04,-65.2833333333333,43.6166666666667,27,NA,23,0,0,0,3.40950659034869,3.40950659034869,3.40950659034869,"33W",344.87119291672
11,312,1982-09-05,-65.2833333333333,43.6166666666667,29,NA,1982-09-23,-65.2833333333333,43.6166666666667,28,2,18,-1,-0.0344827586206897,0,3.40950659034869,3.40950659034869,3.40950659034869,"33W",263.393010809437
12,326,1982-08-15,-65.2833333333333,43.6166666666667,43,NA,1982-10-03,-65.2833333333333,43.6166666666667,43,1,49,0,0,0,3.40950659034869,3.40950659034869,3.40950659034869,"33W",695.56013518645
13,337,1982-09-05,-65.2833333333333,43.6166666666667,40,NA,1983-06-04,-65.2833333333333,43.6166666666667,39,2,272,-1,-0.025,0,3.40950659034869,3.40950659034869,3.40950659034869,"33W",1568.42945072906
14,370,1982-09-06,-65.2833333333333,43.6166666666667,24,NA,1982-09-21,-65.2833333333333,43.6166666666667,24,1,15,0,0,0,3.40950659034869,3.40950659034869,3.40950659034869,"33W",222.30146136747
